siteID,collectDate,taxonID,scientificName,fishTotalLength,fishWeight,fishLifeStage
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,47,0.3,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,56,1.5,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,74,3.3,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,66,3.5,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,64,2.5,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,68,3,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,91,7.6,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,73,4.1,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,70,3.7,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,67,2.4,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,62,2.3,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,65,2.7,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,67,2.7,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,160,60.3,adult
CRAM,2017-05-01,PERFLA,Perca flavescens,73,2.9,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,70,3.4,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,73,4.3,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,66,3.3,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,61,2.5,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,122,24,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,67,3.3,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,71,2.3,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,63,3.1,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,58,2.1,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,100,12.6,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,52,1.2,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,66,2.2,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,67,2.4,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,77,4,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,55,1.3,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,90,5.3,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,63,2.5,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,60,1.4,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,80,4,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,72,3.4,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,130,26,adult
CRAM,2017-05-01,LEPGIB,Lepomis gibbosus,133,37.6,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,57,2.6,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,68,3.2,juvenile
CRAM,2017-05-01,ETHEXI,Etheostoma exile,58,1.5,adult
CRAM,2017-05-01,ETHNIG1,Etheostoma nigrum,45,1.8,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,70,3.7,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,35,0.6,young of year
CRAM,2017-05-01,PERFLA,Perca flavescens,74,3.9,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,71,3.3,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,38,0.7,young of year
CRAM,2017-05-01,PERFLA,Perca flavescens,75,3.3,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,72,4.6,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,78,7.9,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,75,5.9,juvenile
CRAM,2017-05-01,UMBLIM,Umbra limi,72,4.4,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,41,1,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,34,0.8,young of year
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,61,3.3,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,71,3.2,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,67,4,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,40,0.8,young of year
CRAM,2017-05-01,PERFLA,Perca flavescens,96,6.7,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,58,2.7,juvenile
CRAM,2017-05-01,ETHEXI,Etheostoma exile,57,1,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,41,0.8,young of year
CRAM,2017-05-01,PERFLA,Perca flavescens,54,2.4,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,41,0.9,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,57,2.5,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,45,0.9,juvenile
CRAM,2017-05-01,UMBLIM,Umbra limi,61,2.5,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,40,0.6,young of year
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,72,4.7,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,68,4,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,60,2.1,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,61,2.9,juvenile
CRAM,2017-05-01,MICSAL,Micropterus salmoides,162,43.6,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,50,0.7,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,129,29.4,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,56,2.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,125,22.6,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,134,31.8,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,63,3.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,91,8.9,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,78,6,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,127,31.5,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,152,47.4,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,84,7.6,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,58,2,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,76,5.1,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,53,1.7,juvenile
CRAM,2017-10-01,MICSAL,Micropterus salmoides,72,4.6,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,60,2.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,57,2.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,64,2.8,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,66,1.9,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,66,2.9,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,90,8.1,adult
CRAM,2017-10-01,PERFLA,Perca flavescens,60,1.7,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,80,6.2,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,66,3.3,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,84,7.2,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,111,18.1,adult
CRAM,2017-10-01,MICSAL,Micropterus salmoides,136,25.1,adult
CRAM,2017-10-01,PERFLA,Perca flavescens,169,46.2,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,82,6.7,adult
CRAM,2017-10-01,PERFLA,Perca flavescens,61,1.8,juvenile
CRAM,2017-10-01,NOTCRY,Notemigonus crysoleucas,74,2.5,juvenile
CRAM,2017-10-01,PERFLA,Perca flavescens,67,2.2,juvenile
CRAM,2017-10-01,MICSAL,Micropterus salmoides,128,22.7,adult
CRAM,2017-10-01,PERFLA,Perca flavescens,56,1.3,juvenile
CRAM,2017-10-01,MICSAL,Micropterus salmoides,179,66,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,51,1.8,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,84,6.5,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,130,28.4,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,58,2.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,65,3.4,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,53,1.3,juvenile
CRAM,2017-10-01,MICSAL,Micropterus salmoides,135,26.3,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,57,2.2,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,57,1.8,juvenile
CRAM,2017-10-01,PERFLA,Perca flavescens,60,1.6,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,71,4.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,4,72,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,87,8.2,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,51,1.3,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,100,11.2,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,101,14,adult
CRAM,2017-10-01,MICSAL,Micropterus salmoides,84,6,adult
CRAM,2017-10-01,LEPGIB,Lepomis gibbosus,135,47.4,adult
CRAM,2017-10-01,MICSAL,Micropterus salmoides,118,14.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,74,5.2,juvenile
CRAM,2017-10-01,PERFLA,Perca flavescens,191,66.5,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,92,9.5,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,80,5.7,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,54,1.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,147,48.3,adult
CRAM,2017-10-01,PERFLA,Perca flavescens,142,26.5,gravid female
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,87,8.4,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,80,6.2,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,115,20,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,68,3.4,adult
CRAM,2017-10-01,PERFLA,Perca flavescens,205,84.5,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,64,3.3,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,146,41.7,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,79,6.4,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,60,2.4,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,50,1.4,juvenile
CRAM,2017-10-01,MICSAL,Micropterus salmoides,124,19.9,adult
CRAM,2017-10-01,MICSAL,Micropterus salmoides,66,2.7,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,76,4.9,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,61,2.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,156,55.3,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,59,2.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,62,2.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,77,4.8,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,53,1.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,66,2.9,juvenile
CRAM,2017-10-01,PERFLA,Perca flavescens,96,6.3,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,61,2,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,63,2.6,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,70,3.4,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,54,1.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,62,2.4,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,65,3,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,53,1.8,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,69,3.8,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,59,2.3,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,72,4.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,61,2.4,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,127,27.8,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,53,1.6,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,56,1.7,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,77,5.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,58,2.2,juvenile
CRAM,2017-10-01,NOTCRY,Notemigonus crysoleucas,116,12.8,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,53,1.6,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,80,5.6,juvenile
CRAM,2017-10-01,LEPGIB,Lepomis gibbosus,122,30.4,adult
CRAM,2017-10-01,MICSAL,Micropterus salmoides,115,14.8,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,87,7.8,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,56,2,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,52,1.4,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,83,5.8,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,129,27.8,adult
CRAM,2017-10-01,NOTCRY,Notemigonus crysoleucas,164,36.1,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,50,1.2,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,62,2.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,130,29.8,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,57,1.8,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,60,2.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,65,2.9,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,56,2,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,65,3.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,62,2.6,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,66,3,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,52,1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,58,2.9,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,55,1.8,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,60,2.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,64,2.8,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,75,4,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,143,40.2,adult
CRAM,2017-10-01,NOTCRY,Notemigonus crysoleucas,124,12.1,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,61,2.7,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,55,1.9,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,53,1.4,juvenile
CRAM,2017-10-01,PERFLA,Perca flavescens,83,7,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,25,0.3,young of year
CRAM,2017-10-01,PERFLA,Perca flavescens,58,1.6,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,51,1.8,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,48,1.2,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,81,5.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,32,0.6,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,31,0.5,young of year
CRAM,2017-10-01,PERFLA,Perca flavescens,70,2.6,juvenile
CRAM,2017-10-01,PERFLA,Perca flavescens,59,1.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,57,2.3,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,33,0.3,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,39,0.6,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,81,6.4,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,29,0.3,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,28,0.3,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,32,0.3,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,40,0.8,young of year
CRAM,2017-10-01,PERFLA,Perca flavescens,52,1.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,34,0.3,young of year
CRAM,2017-10-01,PERFLA,Perca flavescens,61,1.6,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,36,0.6,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,31,0.3,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,36,0.8,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,35,0.3,young of year
CRAM,2017-10-01,PERFLA,Perca flavescens,58,1.3,juvenile
CRAM,2017-10-01,UMBLIM,Umbra limi,53,1.4,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,30,0.3,young of year
CRAM,2017-10-01,PERFLA,Perca flavescens,100,7.6,juvenile
CRAM,2017-10-01,PERFLA,Perca flavescens,71,2.9,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,73,5.2,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,34,0.3,young of year
CRAM,2017-10-01,PERFLA,Perca flavescens,65,2.2,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,29,0.3,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,34,0.3,young of year
CRAM,2017-10-01,PERFLA,Perca flavescens,70,2.7,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,27,0.3,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,39,0.6,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,36,0.5,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,69,3.8,juvenile
CRAM,2017-10-01,MICSAL,Micropterus salmoides,53,1.4,juvenile
CRAM,2017-10-01,MICSAL,Micropterus salmoides,52,1.7,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,36,0.7,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,63,3.3,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,50,1.6,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,36,0.6,young of year
CRAM,2017-10-01,PERFLA,Perca flavescens,57,1.5,juvenile
CRAM,2017-10-01,PERFLA,Perca flavescens,66,2.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,27,0.3,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,94,10.8,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,35,0.7,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,32,0.3,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,70,4.5,juvenile
CRAM,2017-10-01,UMBLIM,Umbra limi,80,5.3,adult
CRAM,2017-10-01,PERFLA,Perca flavescens,87,5.2,juvenile
CRAM,2017-10-01,PERFLA,Perca flavescens,59,1.5,juvenile
CRAM,2017-10-01,PERFLA,Perca flavescens,63,3.1,juvenile
CRAM,2017-10-01,UMBLIM,Umbra limi,60,1.9,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,35,0.5,young of year
CRAM,2017-10-01,UMBLIM,Umbra limi,76,4.7,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,60,3.2,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,28,0.3,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,32,0.5,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,123,30,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,57,2.1,juvenile
CRAM,2017-10-01,UMBLIM,Umbra limi,60,2.2,adult
CRAM,2017-10-01,UMBLIM,Umbra limi,62,2.1,adult
CRAM,2017-10-01,UMBLIM,Umbra limi,43,0.7,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,35,0.5,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,53,1.7,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,42,0.6,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,36,0.5,young of year
CRAM,2017-10-01,UMBLIM,Umbra limi,46,0.9,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,125,26.7,adult
CRAM,2017-10-01,UMBLIM,Umbra limi,72,3.2,adult
CRAM,2017-10-01,UMBLIM,Umbra limi,67,3.1,adult
CRAM,2017-10-01,UMBLIM,Umbra limi,59,1.8,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,68,3.6,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,36,0.5,young of year
CRAM,2017-10-01,PERFLA,Perca flavescens,104,8.4,juvenile
CRAM,2017-10-01,UMBLIM,Umbra limi,64,2.4,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,35,0.3,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,62,2.7,juvenile
CRAM,2017-10-01,UMBLIM,Umbra limi,37,0.3,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,55,1.8,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,65,3.2,juvenile
CRAM,2017-10-01,UMBLIM,Umbra limi,65,2.7,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,54,1.8,juvenile
CRAM,2017-10-01,UMBLIM,Umbra limi,70,3,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,60,2.3,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,53,2.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,41,0.7,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,56,2,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,78,5.5,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,54,1.6,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,57,2.2,young of year
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,54,2.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,56,1.9,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,55,1.9,juvenile
CRAM,2017-10-01,UMBLIM,Umbra limi,62,2,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,139,37.5,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,73,2.7,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,117,20.1,adult
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,64,2.4,juvenile
CRAM,2017-10-01,MICSAL,Micropterus salmoides,68,3.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,70,2.7,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,59,2.1,juvenile
CRAM,2017-10-01,LEPMAC,Lepomis macrochirus,60,2.5,juvenile
