uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks,publicationDate,release
91ff56e3-b390-4db5-acb1-a254d144710b,D05,CRAM,CRAM.AOS.riparian.point.02,2016-09-13T01:40:00Z,2016-09-13T02:15:00Z,1,CRAM.20160912.02,CRAM.20160912.02.1.e-fisher,20.8,8.1,9.1,electrofisher,NA,NA,30,50,500,30,50,700,396,1,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,NA,20231227T020056Z,RELEASE-2024
7f3ed491-f864-4e55-9bf2-10bbc33bec54,D05,CRAM,CRAM.AOS.riparian.point.01,2016-09-13T03:30:00Z,2016-09-13T04:00:00Z,1,CRAM.20160912.01,CRAM.20160912.01.1.e-fisher,20.7,6.8,12.7,electrofisher,NA,NA,30,50,700,30,50,700,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,no EF time recorded,20231227T020056Z,RELEASE-2024
e1d55767-ace8-4c2a-ae38-b4db6c03498a,D05,CRAM,CRAM.AOS.riparian.point.03,2016-09-13T17:00:00Z,2016-09-13T17:00:00Z,2,CRAM.20160830.03,CRAM.20160913.03.2.e-fisher,20,8.4,12.1,electrofisher,NA,NA,30,50,500,30,50,500,491,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,no start and end time recorded for pass,20231227T020056Z,RELEASE-2024
f6fe9498-13f4-43c3-9f88-976f5af81207,D05,CRAM,CRAM.AOS.riparian.point.03,2016-09-13T17:00:00Z,2016-09-13T17:00:00Z,3,CRAM.20160830.03,CRAM.20160913.03.3.e-fisher,20,8.4,12.1,electrofisher,NA,NA,30,50,500,30,50,500,431,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,no start and end time recorded for pass,20231227T020056Z,RELEASE-2024
332d344c-4e8b-4b6f-ad90-fe72036bbd4c,D05,CRAM,CRAM.AOS.riparian.point.03,2016-09-13T17:00:00Z,2016-09-13T17:00:00Z,1,CRAM.20160830.03,CRAM.20160913.03.1.e-fisher,20,8.4,12.1,electrofisher,NA,NA,30,50,500,30,50,500,370,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,no start and end time recorded for pass,20231227T020056Z,RELEASE-2024
ace48aef-0a29-4aab-bc6c-d0c2b554c9e0,D05,CRAM,CRAM.AOS.riparian.point.04,2016-09-13T20:00:00Z,2016-09-13T21:50:00Z,1,CRAM.20160901.04,CRAM.20160913.04.1.gill,20.1,8.8,16.5,gill net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2016-09-13T20:00:00Z,2016-09-13T21:50:00Z,1.84,NA,NA,N,NA,20231227T020056Z,RELEASE-2024
3b1cabe6-4bce-436d-b97f-13700130a131,D05,CRAM,CRAM.AOS.riparian.point.04,2016-09-13T21:30:00Z,2016-09-14T17:15:00Z,1,CRAM.20160901.04,CRAM.20160913.04.1.fyke,20.6,8.3,12.2,mini-fyke net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2016-09-13T21:30:00Z,2016-09-14T17:15:00Z,19.75,NA,NA,Y,NA,20231227T020056Z,RELEASE-2024
d61ce2f4-6cdb-45ea-8167-f29f86eaa0ac,D05,CRAM,CRAM.AOS.riparian.point.02,2016-09-14T18:00:00Z,2016-09-14T19:45:00Z,1,CRAM.20160912.02,CRAM.20160913.02.1.gill,20.7,9,12.4,gill net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2016-09-14T18:00:00Z,2016-09-14T19:45:00Z,1.75,NA,NA,Y,NA,20231227T020056Z,RELEASE-2024
6949d7c0-4a88-4cdf-a5f2-429b2ecefac3,D05,CRAM,CRAM.AOS.riparian.point.03,2017-05-18T21:00:00Z,2017-05-19T16:30:00Z,1,CRAM.20170518.03,CRAM.20170518.03.1.fyke,NA,NA,NA,mini-fyke net,littoral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2017-05-18T21:00:00Z,2017-05-19T16:30:00Z,19.5,5.4,NA,Y,NA,20231227T073246Z,RELEASE-2024
ed8a40d9-f315-4b95-9e11-1f709bee1c14,D05,CRAM,CRAM.AOS.riparian.point.03,2017-05-18T21:00:00Z,2017-05-19T16:30:00Z,1,CRAM.20170518.03,CRAM.20170518.03.1.fyke,NA,NA,NA,mini-fyke net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2017-05-18T21:00:00Z,2017-05-19T16:30:00Z,19.5,NA,NA,Y,"water temp, DO, and specific conductance not recorded",20231227T073246Z,RELEASE-2024
15f62294-d33b-4afe-9983-a7c79d6647d0,D05,CRAM,CRAM.AOS.riparian.point.03,2017-05-19T04:00:00Z,2017-05-19T04:30:00Z,1,CRAM.20170518.03,CRAM.20170518.03.1.e-fisher,13.7,13.5,11.4,electrofisher,NA,NA,30,50,500,NA,NA,NA,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,"Final: frequency, Final: duty cycle, Final: voltage, and # of setting changes not recorded",20231227T073246Z,RELEASE-2024
0e6ed2d0-e7a4-425b-8213-8cf9bff10449,D05,CRAM,CRAM.AOS.riparian.point.03,2017-05-19T04:00:00Z,2017-05-19T04:30:00Z,1,CRAM.20170518.03,CRAM.20170518.03.1.e-fisher,NA,NA,NA,electrofisher,littoral,NA,30,50,500,NA,NA,NA,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,NA,20231227T073246Z,RELEASE-2024
a52d04f9-c49d-4447-989c-47c1b5fbb0f0,D05,CRAM,CRAM.AOS.riparian.point.03,2017-05-19T05:00:00Z,2017-05-19T05:20:00Z,2,CRAM.20170518.03,CRAM.20170518.03.2.e-fisher,13.7,13.5,11.4,electrofisher,NA,NA,30,50,500,30,50,500,543,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,NA,20231227T073246Z,RELEASE-2024
fb67cba3-a8e5-422d-9a96-bbcc33246637,D05,CRAM,CRAM.AOS.riparian.point.03,2017-05-19T05:00:00Z,2017-05-19T05:20:00Z,2,CRAM.20170518.03,CRAM.20170519.03.2.e-fisher,13.5,11.4,13.7,electrofisher,littoral,NA,30,50,500,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,Operational time not recorded,20231227T073246Z,RELEASE-2024
a2d63f93-a766-453b-9072-9e2eb001bed8,D05,CRAM,CRAM.AOS.riparian.point.03,2017-05-19T05:30:00Z,2017-05-19T06:00:00Z,3,CRAM.20170518.03,CRAM.20170518.03.3.e-fisher,13.7,13.5,11.4,electrofisher,NA,NA,NA,NA,NA,NA,NA,NA,652,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,"Initial: frequency, Initial: duty cycle, Initial: voltage, Final: frequency, Final: duty cycle, and Final: voltage not recorded",20231227T073246Z,RELEASE-2024
3adb5bb4-cebd-4879-9b26-72f8cbba658d,D05,CRAM,CRAM.AOS.riparian.point.03,2017-05-19T05:30:00Z,2017-05-19T06:00:00Z,3,CRAM.20170518.03,CRAM.20170519.03.3.e-fisher,13.5,11.4,13.7,electrofisher,littoral,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,Operational time not recorded,20231227T073246Z,RELEASE-2024
53010f6b-dfc8-4a1d-9319-cb6a8cb5d92f,D05,CRAM,CRAM.AOS.riparian.point.05,2017-10-09T20:44:00Z,2017-10-10T17:52:00Z,1,CRAM.20171009.05,CRAM.20171009.05.1.fyke,NA,NA,NA,mini-fyke net,littoral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2017-10-09T20:44:00Z,2017-10-10T17:52:00Z,21.13,4.5,NA,Y,NA,20231227T074512Z,RELEASE-2024
068d1825-a91f-4cca-8d2d-e96b44283afc,D05,CRAM,CRAM.AOS.riparian.point.05,2017-10-09T20:44:00Z,2017-10-10T17:52:00Z,1,CRAM.20171009.05,CRAM.20171009.05.1.fyke,NA,NA,NA,mini-fyke net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2017-10-09T20:44:00Z,2017-10-10T17:52:00Z,21.13,4.5,NA,Y,"Specific conductance, water temp, and DO not recorded",20231227T074512Z,RELEASE-2024
d59fd077-7da4-4da6-a6b4-861abe40f821,D05,CRAM,CRAM.AOS.riparian.point.03,2017-10-09T21:03:00Z,2017-10-10T17:00:00Z,1,CRAM.20171009.03,CRAM.20171009.03.1.fyke,NA,NA,NA,mini-fyke net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2017-10-09T21:03:00Z,2017-10-10T17:00:00Z,19.95,6.9,NA,Y,"Specific conductance, water temp, and DO not recorded",20231227T074512Z,RELEASE-2024
67f3a185-3a0a-471f-b8c4-0ca8021c6efc,D05,CRAM,CRAM.AOS.riparian.point.03,2017-10-09T21:03:00Z,2017-10-10T17:00:00Z,1,CRAM.20171009.03,CRAM.20171009.03.1.fyke,NA,NA,NA,mini-fyke net,littoral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2017-10-09T21:03:00Z,2017-10-10T17:00:00Z,19.95,6.9,NA,Y,NA,20231227T074512Z,RELEASE-2024
29819895-39a2-4103-a724-064314e9ec46,D05,CRAM,CRAM.AOS.riparian.point.03,2017-10-10T01:25:00Z,2017-10-10T02:05:00Z,1,CRAM.20171009.03,CRAM.20171009.03.1.e-fisher,NA,NA,NA,electrofisher,littoral,NA,30,50,500,30,50,500,631,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,YSI Left at office,20231227T074512Z,RELEASE-2024
858ed598-48fd-461d-a1ae-d6ffbb0bb6e5,D05,CRAM,CRAM.AOS.riparian.point.03,2017-10-10T01:25:00Z,2017-10-10T02:05:00Z,1,CRAM.20171009.03,CRAM.20171009.03.1.e-fisher,NA,NA,NA,electrofisher,NA,NA,30,50,500,NA,NA,NA,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,"Specific Conductance, water temp, DO, final: frequency, final: duty cycle, final: voltage, and # of setting changes not recorded",20231227T074512Z,RELEASE-2024
e50bdcbe-aeb8-46d1-afef-e153719b0329,D05,CRAM,CRAM.AOS.riparian.point.03,2017-10-10T03:00:00Z,2017-10-10T03:31:00Z,2,CRAM.20171009.03,CRAM.20171009.03.2.e-fisher,NA,NA,NA,electrofisher,NA,NA,30,50,700,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,"Specific Conductance, water temp, DO, final: frequency, final: duty cycle, final: voltage, and # of setting changes not recorded",20231227T074512Z,RELEASE-2024
6bae9b67-0ca0-4c01-bfd9-b30b22b52884,D05,CRAM,CRAM.AOS.riparian.point.03,2017-10-10T04:04:00Z,2017-10-10T04:24:00Z,3,CRAM.20171009.03,CRAM.20171009.03.3.e-fisher,NA,NA,NA,electrofisher,NA,NA,30,50,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,"Specific Conductance, water temp, DO, final: frequency, final: duty cycle, final: voltage, # of setting changes, and eftime not recorded",20231227T074512Z,RELEASE-2024
5f93da54-387c-4a9a-81e7-c6a372d7a916,D05,CRAM,CRAM.AOS.riparian.point.03,2017-10-10T04:04:00Z,2017-10-10T04:24:00Z,3,CRAM.20171009.03,CRAM.20171009.03.3.e-fisher,NA,NA,NA,electrofisher,littoral,NA,30,50,500,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,Operational time not recorded,20231227T074512Z,RELEASE-2024
73739321-fc60-463e-9554-a41113130929,D05,CRAM,CRAM.AOS.riparian.point.05,2017-10-10T04:45:00Z,2017-10-10T05:00:00Z,1,CRAM.20171009.05,CRAM.20171009.05.1.e-fisher,NA,NA,NA,electrofisher,NA,NA,30,50,500,NA,NA,NA,533,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,"End time, Specific Conductance, water temp, DO, final: frequency, final: duty cycle, final: voltage, and # of setting changes not recorded",20231227T074512Z,RELEASE-2024
ea04cd4e-84b0-4142-baa4-073cbdaf59fb,D05,CRAM,CRAM.AOS.riparian.point.05,2017-10-10T04:45:00Z,2017-10-10T06:00:00Z,1,CRAM.20171009.05,CRAM.20171009.05.1.e-fisher,NA,NA,NA,electrofisher,littoral,NA,30,50,500,30,50,500,533,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,NA,20231227T074512Z,RELEASE-2024
9af0390d-43ac-464d-878b-f0c82b00d565,D05,CRAM,CRAM.AOS.riparian.point.07,2017-10-10T21:15:00Z,2017-10-11T17:45:00Z,1,CRAM.20171010.07,CRAM.20171010.07.1.fyke,NA,NA,NA,mini-fyke net,littoral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<10% compromised,2017-10-10T21:15:00Z,2017-10-11T17:45:00Z,20.5,1.5,NA,Y,Holes discovered in net,20231227T074512Z,RELEASE-2024
f300db11-94e8-463a-9ca0-02931f94c2e8,D05,CRAM,CRAM.AOS.riparian.point.07,2017-10-10T21:15:00Z,2017-10-11T17:45:00Z,1,CRAM.20171010.07,CRAM.20171010.07.1.fyke,NA,NA,NA,mini-fyke net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2017-10-10T21:15:00Z,2017-10-11T17:45:00Z,20.5,1.5,NA,Y,"Specific conductance, water temp, and DO not recorded. Holes discovered in net",20231227T074512Z,RELEASE-2024
22a137c4-7775-4160-83cf-b037fe85a436,D05,CRAM,CRAM.AOS.riparian.point.06,2017-10-10T21:30:00Z,2017-10-11T16:57:00Z,1,CRAM.20171010.06,CRAM.20171010.06.1.fyke,NA,NA,NA,mini-fyke net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2017-10-10T21:30:00Z,2017-10-11T16:57:00Z,18.45,2.9,NA,Y,"Specific conductance, water temp, and DO not recorded. Holes discovered in net.",20231227T074512Z,RELEASE-2024
937abcf2-224e-42ec-be45-58bfa752a89c,D05,CRAM,CRAM.AOS.riparian.point.06,2017-10-10T21:30:00Z,2017-10-11T16:57:00Z,1,CRAM.20171010.06,CRAM.20171010.06.1.fyke,NA,NA,NA,mini-fyke net,littoral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<10% compromised,2017-10-10T21:30:00Z,2017-10-11T16:57:00Z,19.45,2.9,NA,Y,Holes discovered in net,20231227T074512Z,RELEASE-2024
8de40ccb-1714-4ec9-8bec-2b8cdfd914ce,D05,CRAM,CRAM.AOS.riparian.point.06,2017-10-11T01:35:00Z,2017-10-11T02:16:00Z,1,CRAM.20171010.06,CRAM.20171010.06.1.e-fisher,14.9,12,NA,electrofisher,littoral,NA,30,50,700,30,50,700,736,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,NA,20231227T074512Z,RELEASE-2024
3ec9bc66-dca0-4d3b-8955-2871ea214f71,D05,CRAM,CRAM.AOS.riparian.point.06,2017-10-11T01:35:00Z,2017-10-11T02:16:00Z,1,CRAM.20171010.06,CRAM.20171010.06.1.e-fisher,14.9,NA,12,electrofisher,NA,NA,30,50,700,30,50,700,736,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,DO not recorded,20231227T074512Z,RELEASE-2024
8e3688b3-5966-4139-9211-d02659bfe7f1,D05,CRAM,CRAM.AOS.riparian.point.06,2017-10-11T03:04:00Z,2017-10-11T03:26:00Z,2,CRAM.20171010.06,CRAM.20171010.06.2.e-fisher,NA,NA,NA,electrofisher,NA,NA,NA,NA,NA,NA,NA,NA,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,"Specific conductance, water temp, do, frequency, duty cycle, voltage, and # of setting changes not recorded",20231227T074512Z,RELEASE-2024
89d70b9b-6180-4a90-9453-b1bfa256f613,D05,CRAM,CRAM.AOS.riparian.point.06,2017-10-11T03:04:00Z,2017-10-11T03:26:00Z,2,CRAM.20171010.06,CRAM.20171010.06.2.e-fisher,14.9,NA,12,electrofisher,littoral,NA,30,50,700,30,50,700,571,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,NA,20231227T074512Z,RELEASE-2024
a67f7126-0da0-49ce-acbf-470f21c91c05,D05,CRAM,CRAM.AOS.riparian.point.06,2017-10-11T03:59:00Z,2017-10-11T04:16:00Z,3,CRAM.20171010.06,CRAM.20171010.06.3.e-fisher,NA,NA,NA,electrofisher,NA,NA,NA,NA,NA,NA,NA,NA,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,"Specific conductance, water temp, do, frequency, duty cycle, voltage, and # of setting changes not recorded",20231227T074512Z,RELEASE-2024
2c8d6a6a-4be2-4450-bcea-9c8f0f97b182,D05,CRAM,CRAM.AOS.riparian.point.06,2017-10-11T03:59:00Z,2017-10-11T04:23:00Z,3,CRAM.20171010.06,CRAM.20171010.06.3.e-fisher,14,12,14,electrofisher,littoral,NA,30,50,700,30,50,700,551,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,Specific conductance approximate based on past data,20231227T074512Z,RELEASE-2024
d7ea8ca1-b312-48b8-9731-835b3f66f0cd,D05,CRAM,CRAM.AOS.riparian.point.07,2017-10-11T04:48:00Z,2017-10-11T05:08:00Z,1,CRAM.20171010.07,CRAM.20171010.07.1.e-fisher,NA,NA,NA,electrofisher,littoral,NA,30,50,700,30,50,700,1200,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,NA,20231227T074512Z,RELEASE-2024
877d61e2-edf1-4bee-b7dc-ab973ef53962,D05,CRAM,CRAM.AOS.riparian.point.07,2017-10-11T04:48:00Z,2017-10-11T05:08:00Z,1,CRAM.20171010.07,CRAM.20171011.07.1.e-fisher,NA,NA,NA,electrofisher,NA,NA,30,50,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,"specific conductance, water temp, DO, final: frequency, final: duty cycle, final: voltage, eftime, and # of setting changes not recorded",20231227T074512Z,RELEASE-2024
